"","x"
"V11081",-94.6858998
"V11082",-94.6858998
"V11083",-76.6127329
"V11084",-74.417097
"V11085",-75.6971931
"V11086",-93.4687489
"V11087",-82.3641751
"V11088",-93.6001278
"V11089",-83.9207392
"V11090",-76.6121893
"V11091",-74.0059728
"V11092",-99.9018131
"V11093",-72.9278835
"V11094",-119.4179324
"V11095",-94.5785667
"V11096",-71.0588801
"V11097",-95.712891
"V11098",-122.3320708
"V11099",-74.0059728
"V11100",-78.951451
"V11101",-77.0368707
"V11102",-118.1961686
"V11103",-74.0059728
"V11104",-79.3831843
"V11105",-84.2700179
"V11106",-79.6903316
"V11107",-80.7471651
"V11108",-95.712891
"V11109",-72.589811
"V11110",-80.4234167
"V11111",-74.4518188
"V11112",-77.0368707
"V11113",2.7753408
"V11114",-86.9833417
"V11115",-97.6762716
"V11116",-99.9018131
"V11117",-84.3879824
"V11118",-75.1652215
"V11119",-106.4850217
"V11120",-102.552784
"V11121",-79.7919754
"V11122",-122.3320708
"V11123",-75.1652215
"V11124",-97.7430608
"V11125",-74.1502007
"V11126",-84.086601
"V11127",-88.7878678
"V11128",-95.3698028
"V11129",-120.7401385
"V11130",-74.4056612
"V11131",-54.6103488
"V11132",-63.5752387
"V11133",-94.5700048
"V11134",-95.712891
"V11135",-85.6023643
"V11136",-75.7241006
"V11137",-94.1736551
"V11138",-118.2436849
"V11139",-95.4787929
"V11140",-122.3320708
"V11141",-88.0118473
"V11142",-76.4730122
"V11143",-95.712891
"V11144",-93.2650108
"V11145",-83.860493
"V11146",-95.3900419
"V11147",-74.0059728
"V11148",-91.8318334
"V11149",-74.0059728
"V11150",-88.7878678
"V11151",-84.5120196
"V11152",-79.3831843
"V11153",-82.907123
"V11154",-94.5785667
"V11155",-15.5474373
"V11156",-105.2551187
"V11157",-79.9958864
"V11158",8.227512
"V11159",-74.4056612
"V11160",-78.6568942
"V11161",133.775136
"V11162",-118.2436849
"V11163",-79.6903316
"V11164",-79.7990319
"V11165",-79.3831843
"V11166",-79.6735841
"V11167",-78.1677363
"V11168",-94.5785667
"V11169",-82.3248262
"V11170",-89.3985283
"V11171",-82.9987942
"V11172",-80.1386547
"V11173",-118.2436849
"V11174",-115.1398296
"V11175",-74.0059728
"V11176",-89.4012302
"V11177",-106.6055534
"V11178",-109.7869527
"V11179",-77.0368707
"V11180",-111.880771
"V11181",-122.2711137
"V11182",-97.4394777
"V11183",-97.4107128
"V11184",-94.1718542
"V11185",-82.445154
"V11186",-91.9623327
"V11187",-95.712891
"V11188",-119.4179324
"V11189",-75.1652215
"V11190",-106.346771
"V11191",-80.097349
"V11192",-74.4518188
"V11193",-81.5157535
"V11194",-79.9958864
"V11195",-119.4179324
"V11196",-95.712891
"V11197",-86.155901
"V11198",-124.4148241
