"","x"
"user_id884","2670271687"
"user_id885","36405969"
"user_id886","757666082052304897"
"user_id887","800944983977164804"
"user_id888","836416259562536961"
"user_id889","369957825"
"user_id890","4487948292"
"user_id891","118433214"
"user_id892","499113450"
"user_id893","22914364"
"user_id894","2341458348"
"user_id895","704223181331165184"
"user_id896","239314598"
"user_id897","926381383475453952"
"user_id898","781172611048804352"
"user_id899","929347266879672321"
"user_id900","85964568"
"user_id901","18359118"
"user_id902","2864992992"
"user_id903","367521426"
"user_id904","120957858"
"user_id905","16623449"
"user_id906","4610284721"
"user_id907","4258967354"
"user_id908","271650797"
"user_id909","17808958"
"user_id910","2795342280"
"user_id911","127902758"
"user_id912","3022557233"
"user_id913","1170568212"
"user_id914","817005229707300864"
"user_id915","722313869683609601"
"user_id916","31304631"
"user_id917","932030246592876546"
"user_id918","117071834"
"user_id919","183581635"
"user_id920","941215116774780929"
"user_id921","536797297"
"user_id922","129750207"
"user_id923","2792131626"
"user_id924","835882182"
"user_id925","18998096"
"user_id926","909545620544901120"
"user_id927","2895334221"
"user_id928","2723183614"
"user_id929","57730696"
"user_id930","2885743858"
"user_id931","148177550"
"user_id932","3874620613"
"user_id933","314676814"
"user_id934","3022735490"
"user_id935","22064251"
"user_id936","830213012610912257"
"user_id937","2495686176"
"user_id938","2615887070"
"user_id939","15267738"
"user_id940","602946546"
"user_id941","14237554"
"user_id942","1662894445"
"user_id943","969848613152149504"
"user_id944","13507702"
"user_id945","49196301"
"user_id946","1617007320"
"user_id947","2266295418"
"user_id948","114025555"
"user_id949","857254006934163456"
"user_id950","577968857"
"user_id951","35706221"
"user_id952","27188645"
"user_id953","2351313909"
"user_id954","96311282"
"user_id955","938674796"
"user_id956","876686119827513344"
"user_id957","512110430"
"user_id958","104718312"
"user_id959","68559382"
"user_id960","1691267185"
"user_id961","1190825605"
"user_id962","959494175245897729"
"user_id963","17428051"
"user_id964","2347847256"
"user_id965","2914376584"
"user_id966","594296715"
"user_id967","1054349371"
"user_id968","2222828869"
"user_id969","382513323"
"user_id970","3086781770"
"user_id971","418078085"
"user_id972","2658399801"
"user_id973","381602095"
"user_id974","956750006031036417"
"user_id975","3680974997"
"user_id976","1581725748"
"user_id977","578491631"
"user_id978","2892327246"
"user_id979","476414443"
"user_id980","34967252"
"user_id981","892476403"
"user_id982","1258223268"
"user_id983","3241822958"
"user_id984","82799304"
"user_id985","823492718814957568"
"user_id986","249850467"
"user_id987","910414776"
"user_id988","725888218458165248"
"user_id989","890016071297716228"
"user_id990","297139382"
"user_id991","2699510580"
"user_id992","867444959154065413"
"user_id993","959908447151157248"
"user_id994","95480471"
"user_id995","783869731"
"user_id996","811576915"
"user_id997","372005039"
"user_id998","1364693149"
"user_id999","3234168157"
"user_id1000","1423180512"
"user_id1001","1488495162"
"user_id1002","838484594827603968"
"user_id1003","185660584"
"user_id1004","739359528"
"user_id1005","759645884"
"user_id1006","3166689311"
"user_id1007","98764683"
"user_id1008","1855170788"
"user_id1009","965766021880561664"
"user_id1010","553215367"
"user_id1011","84366480"
"user_id1012","56904258"
"user_id1013","76797606"
"user_id1014","2364046949"
"user_id1015","738567336853020673"
"user_id1016","732643055077974016"
"user_id1017","938072893472178176"
"user_id1018","1085141695"
"user_id1019","870847505633816577"
"user_id1020","2974056359"
"user_id1021","733432861"
"user_id1022","227930370"
"user_id1023","109659704"
"user_id1024","29547555"
"user_id1025","798088749221613568"
"user_id1026","761580698310471680"
"user_id1027","926760236404285440"
"user_id1028","728831600985673728"
"user_id1029","381330165"
"user_id1030","732793848154427392"
"user_id1031","964959131323990016"
"user_id1032","872351116578758656"
"user_id1033","822407545146998784"
"user_id1034","925543507"
"user_id1035","153594953"
"user_id1036","85484501"
"user_id1037","941463151559585794"
"user_id1038","817914393975345154"
"user_id1039","718860035556814848"
"user_id1040","713145331"
"user_id1041","822234491418771458"
"user_id1042","73928056"
"user_id1043","532347003"
"user_id1044","20995137"
"user_id1045","944276258111795200"
"user_id1046","75938338"
"user_id1047","17737281"
"user_id1048","928249086008004609"
"user_id1049","634676291"
"user_id1050","3260352356"
"user_id1051","53925971"
"user_id1052","1135102880"
"user_id1053","80857088"
"user_id1054","1541994284"
"user_id1055","3886389564"
"user_id1056","454084038"
"user_id1057","403174259"
"user_id1058","1276335254"
"user_id1059","115260833"
"user_id1060","812079846"
"user_id1061","134959712"
"user_id1062","2505849332"
"user_id1063","293826481"
"user_id1064","212485944"
"user_id1065","830485961121333250"
"user_id1066","487220448"
"user_id1067","37113455"
"user_id1068","36349288"
"user_id1069","759913674593054720"
"user_id1070","23205414"
"user_id1071","2215603908"
"user_id1072","808829116845854720"
"user_id1073","913489405364629515"
"user_id1074","597102796"
"user_id1075","825743646859345920"
"user_id1076","2746763725"
"user_id1077","257171384"
"user_id1078","4476428301"
"user_id1079","820713155890388992"
"user_id1080","17291463"
"user_id1081","2535034942"
"user_id1082","806555268683157504"
"user_id1083","61762977"
"user_id1084","828451817021333504"
"user_id1085","137819696"
"user_id1086","1615018009"
"user_id1087","3259235131"
"user_id1088","941519727221932033"
"user_id1089","3168092856"
"user_id1090","889606310068711429"
"user_id1091","17450044"
"user_id1092","863787708"
"user_id1093","953474665384742912"
"user_id1094","943248419061080064"
"user_id1095","2511985854"
"user_id1096","358892210"
"user_id1097","1520197118"
"user_id1098","1931219221"
"user_id1099","950720042420854784"
"user_id1100","898921712"
"user_id1101","32584923"
"user_id1102","2542517569"
"user_id1103","874636442290577410"
"user_id1104","2793279340"
"user_id1105","804367733026648064"
"user_id1106","25114107"
"user_id1107","3241743744"
"user_id1108","579386731"
"user_id1109","127084753"
"user_id1110","100601004"
"user_id1111","2482071294"
"user_id1112","166216613"
"user_id1113","2614244476"
"user_id1114","2450833706"
"user_id1115","627778789"
"user_id1116","484582499"
"user_id1117","429851351"
"user_id1118","113432465"
"user_id1119","885580703542411266"
"user_id1120","30266529"
"user_id1121","827277897320714240"
"user_id1122","146527284"
"user_id1123","713127503351713793"
"user_id1124","34487485"
"user_id1125","595492801"
"user_id1126","816491683651031040"
"user_id1127","620510310"
"user_id1128","3425772532"
"user_id1129","714949505720823808"
"user_id1130","1489776218"
"user_id1131","847457311"
"user_id1132","2579257620"
"user_id1133","879069818862915587"
"user_id1134","74999429"
"user_id1135","120675100"
"user_id1136","2814583472"
"user_id1137","261190093"
"user_id1138","755265921824985088"
"user_id1139","2888721058"
"user_id1140","760933159970144256"
"user_id1141","24939473"
"user_id1142","22695157"
"user_id1143","923588061946155008"
"user_id1144","96400273"
"user_id1145","31048443"
"user_id1146","2155502364"
"user_id1147","2921914308"
"user_id1148","302060217"
"user_id1149","362780183"
"user_id1150","732315955477544960"
"user_id1151","125804915"
"user_id1152","20184945"
"user_id1153","2185"
"user_id1154","529554922"
"user_id1155","15554016"
"user_id1156","106462923"
